Date_Time,Location ,Material ,Airport Air Temp. (°C),Ambient Air Temp. (°C),Surface Temp. (°C),Albedo (Broad) 
9/10/2022 14:00,1A,Brick,29,29,47,0.08
9/10/2022 14:00,1B,Brick,29,29,27,0.04
9/10/2022 14:00,2A,Vinyl,29,29,39,1
9/10/2022 14:00,2B,Vinyl,29,29,26,0.57
9/10/2022 14:00,3A,Concrete,29,29,32,0.88
9/10/2022 14:00,3B,Concrete,29,29,22,0.71
9/10/2022 14:00,4A,Steel,29,29,50,0.04
9/10/2022 14:00,4B,Steel,29,29,30,0.19
10/7/2022 14:00,1A,Brick,24,25,35,0.38
10/7/2022 14:00,1B,Brick,24,25,25,0.13
10/7/2022 14:00,2A,Vinyl,24,25,30,1
10/7/2022 14:00,2B,Vinyl,24,25,25,0.13
10/7/2022 14:00,3A,Concrete,24,26,19,1
10/7/2022 14:00,3B,Concrete,24,26,17,0.19
10/7/2022 14:00,4A,Steel,24,26,38,0.03
10/7/2022 14:00,4B,Steel,24,26,25,0
11/10/2022 14:00,1A,Brick,20,21,31,0.03
11/10/2022 14:00,1B,Brick,20,21,27,0.11
11/10/2022 14:00,2A,Vinyl,20,21,26,0.54
11/10/2022 14:00,2B,Vinyl,20,21,20,0.87
11/10/2022 14:00,3A,Concrete,20,21,21,0.92
11/10/2022 14:00,3B,Concrete,20,21,16,0.19
11/10/2022 14:00,4A,Steel,20,21,30,0.15
11/10/2022 14:00,4B,Steel,20,21,24,0.01
