STM32_v0.10,,,SPS30_SN:EB233BF6BEF64CE3
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20221025,191142,16782,5.93,14.87,21.82,23.21,21.9,75.9,19.77,37.49,46.78,48.43,48.71,1.26,0,0,3.60,17.9,95.9,CE3
1,0.000000,0.000000,0,-1.0,0.0,0,20221025,191143,17859,9.22,17.52,23.80,25.06,21.9,75.9,44.49,64.65,73.11,74.61,74.87,0.75,0,0,3.60,17.9,95.9,CE3
2,0.000000,0.000000,0,-1.0,0.0,0,20221025,191144,18931,9.10,16.53,22.13,23.25,21.9,75.8,45.69,64.58,72.14,73.48,73.71,0.71,0,0,3.60,17.9,95.8,CE3
3,0.000000,0.000000,0,-1.0,0.0,0,20221025,191145,20008,8.77,14.09,17.99,18.77,21.9,75.7,48.63,64.39,69.70,70.64,70.80,0.74,0,0,3.59,17.9,95.7,CE3
4,0.000000,0.000000,0,-1.0,0.0,0,20221025,191146,21085,8.50,12.30,14.98,15.51,21.9,75.7,50.48,63.96,67.65,68.30,68.42,0.69,0,0,3.59,17.9,95.7,CE3
5,0.000000,0.000000,0,-1.0,0.0,0,20221025,191147,22162,8.39,11.92,14.38,14.87,21.9,75.7,50.34,63.35,66.76,67.36,67.47,0.70,0,0,3.59,17.9,95.7,CE3
6,0.000000,0.000000,0,-1.0,0.0,0,20221025,191148,23234,8.34,12.19,14.93,15.47,21.9,75.8,49.18,62.57,66.34,67.00,67.12,0.73,0,0,3.60,17.9,95.8,CE3
7,0.000000,0.000000,0,-1.0,0.0,0,20221025,191149,24311,8.26,12.10,14.83,15.37,21.9,75.8,48.63,61.92,65.68,66.34,66.46,0.76,0,0,3.60,17.9,95.8,CE3
8,0.000000,0.000000,0,-1.0,0.0,0,20221025,191150,25388,8.10,11.56,13.98,14.47,21.9,75.7,48.44,61.07,64.43,65.01,65.12,0.72,0,0,3.59,17.9,95.7,CE3
9,0.000000,0.000000,0,-1.0,0.0,0,20221025,191151,26460,7.92,10.96,13.05,13.47,21.9,75.6,48.25,60.15,63.06,63.57,63.67,0.71,0,0,3.59,17.9,95.6,CE3
