STM32_v0.10,,,SPS30_SN:BE2583377F76CD2A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20221018,190133,44898,4.80,5.43,5.73,5.78,23.0,51.0,32.08,37.77,38.25,38.33,38.35,0.55,0,0,3.78,19.0,64.3,D2A
1,0.000000,0.000000,0,-1.0,0.0,0,20221018,190134,45968,4.80,5.43,5.72,5.78,23.0,51.1,32.12,37.81,38.29,38.37,38.39,0.55,0,0,3.78,19.0,64.4,D2A
2,0.000000,0.000000,0,-1.0,0.0,0,20221018,190135,47045,4.81,5.44,5.73,5.79,23.1,51.1,32.20,37.89,38.37,38.45,38.47,0.54,0,0,3.78,19.1,64.4,D2A
3,0.000000,0.000000,0,-1.0,0.0,0,20221018,190137,48114,4.78,5.39,5.66,5.72,23.1,51.2,32.01,37.65,38.10,38.18,38.20,0.54,0,0,3.78,19.1,64.5,D2A
4,0.000000,0.000000,0,-1.0,0.0,0,20221018,190138,49183,4.74,5.37,5.65,5.70,23.1,51.1,31.74,37.36,37.83,37.91,37.92,0.55,0,0,3.78,19.1,64.5,D2A
5,0.000000,0.000000,0,-1.0,0.0,0,20221018,190139,50252,4.72,5.35,5.64,5.70,23.1,51.1,31.57,37.17,37.65,37.73,37.75,0.54,0,0,3.78,19.1,64.4,D2A
6,0.000000,0.000000,0,-1.0,0.0,0,20221018,190140,51328,4.71,5.30,5.57,5.62,23.2,51.2,31.55,37.09,37.53,37.61,37.62,0.54,0,0,3.78,19.2,64.6,D2A
7,0.000000,0.000000,0,-1.0,0.0,0,20221018,190141,52396,4.70,5.30,5.56,5.62,23.2,51.3,31.52,37.06,37.51,37.58,37.60,0.53,0,0,3.78,19.2,64.7,D2A
8,0.000000,0.000000,0,-1.0,0.0,0,20221018,190142,53464,4.70,4.97,4.97,4.97,23.2,51.3,32.30,37.41,37.51,37.52,37.52,0.53,0,0,3.78,19.2,64.6,D2A
9,0.000000,0.000000,0,-1.0,0.0,0,20221018,190143,54538,4.73,5.00,5.00,5.00,23.2,51.5,32.49,37.63,37.73,37.74,37.74,0.53,0,0,3.78,19.2,64.9,D2A
10,0.000000,0.000000,0,-1.0,0.0,0,20221018,190144,55605,4.74,5.01,5.01,5.01,23.2,51.7,32.58,37.73,37.83,37.84,37.85,0.52,0,0,3.78,19.2,65.1,D2A
11,0.000000,0.000000,0,-1.0,0.0,0,20221018,190145,56673,4.72,4.99,4.99,4.99,23.3,51.5,32.43,37.56,37.66,37.67,37.67,0.53,0,0,3.78,19.3,65.0,D2A
12,0.000000,0.000000,0,-1.0,0.0,0,20221018,190146,57741,4.74,5.02,5.02,5.02,23.2,51.7,32.61,37.77,37.87,37.88,37.88,0.52,0,0,3.78,19.2,65.2,D2A
13,0.000000,0.000000,0,-1.0,0.0,0,20221018,190147,58817,4.74,5.01,5.01,5.01,23.3,51.8,32.59,37.75,37.84,37.85,37.86,0.52,0,0,3.78,19.3,65.4,D2A
14,0.000000,0.000000,0,-1.0,0.0,0,20221018,190148,59886,4.72,4.99,4.99,4.99,23.3,51.7,32.41,37.54,37.64,37.65,37.66,0.52,0,0,3.78,19.3,65.1,D2A
15,0.000000,0.000000,0,-1.0,0.0,0,20221018,190148,60956,4.66,4.93,4.93,4.93,23.3,51.6,32.03,37.10,37.19,37.20,37.21,0.52,0,0,3.78,19.3,65.0,D2A
16,0.000000,0.000000,0,-1.0,0.0,0,20221018,190150,62026,4.62,4.89,4.89,4.89,23.3,51.7,31.76,36.79,36.88,36.89,36.89,0.52,0,0,3.78,19.3,65.1,D2A
