STM32_v0.10,,,SPS30_SN:BBBB300289AB6E39
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20221025,195601,16803,5.33,5.63,5.63,5.63,23.5,70.4,36.86,42.42,42.51,42.52,42.53,0.42,0,0,3.75,19.5,88.7,E39
1,0.000000,0.000000,0,-1.0,0.0,0,20221025,195602,17875,8.42,12.90,16.14,16.79,23.5,70.3,46.24,61.54,66.90,67.74,67.88,0.63,0,0,3.75,19.5,88.6,E39
2,0.000000,0.000000,0,-1.0,0.0,0,20221025,195603,18946,8.19,11.20,13.25,13.66,23.5,70.2,49.05,61.73,65.18,65.71,65.81,0.63,0,0,3.75,19.5,88.5,E39
3,0.000000,0.000000,0,-1.0,0.0,0,20221025,195604,20022,8.08,10.85,12.72,13.09,23.5,70.2,49.01,61.20,64.34,64.83,64.92,0.66,0,0,3.75,19.5,88.5,E39
4,0.000000,0.000000,0,-1.0,0.0,0,20221025,195605,21099,7.99,10.84,12.78,13.16,23.5,70.1,48.10,60.33,63.59,64.10,64.19,0.63,0,0,3.75,19.5,88.4,E39
5,0.000000,0.000000,0,-1.0,0.0,0,20221025,195605,22176,7.91,10.92,12.99,13.40,23.5,70.1,47.05,59.46,62.93,63.47,63.56,0.64,0,0,3.75,19.5,88.3,E39
6,0.000000,0.000000,0,-1.0,0.0,0,20221025,195607,23249,7.79,10.59,12.49,12.87,23.5,70.0,46.85,58.80,62.00,62.50,62.58,0.65,0,0,3.75,19.5,88.3,E39
7,0.000000,0.000000,0,-1.0,0.0,0,20221025,195608,24316,7.63,10.11,11.77,12.10,23.5,70.0,46.66,57.95,60.74,61.18,61.26,0.63,0,0,3.74,19.5,88.2,E39
8,0.000000,0.000000,0,-1.0,0.0,0,20221025,195609,25393,7.48,9.67,11.10,11.39,23.5,70.0,46.49,57.17,59.59,59.97,60.04,0.57,0,0,3.74,19.5,88.2,E39
9,0.000000,0.000000,0,-1.0,0.0,0,20221025,195610,26463,7.32,9.33,10.61,10.87,23.5,70.0,45.92,56.14,58.32,58.67,58.73,0.56,0,0,3.75,19.5,88.2,E39
10,0.000000,0.000000,0,-1.0,0.0,0,20221025,195611,27538,7.21,9.06,10.22,10.45,23.5,70.0,45.63,55.48,57.47,57.78,57.83,0.58,0,0,3.75,19.5,88.2,E39
11,0.000000,0.000000,0,-1.0,0.0,0,20221025,195612,28615,7.10,8.79,9.83,10.03,23.6,70.0,45.28,54.77,56.56,56.84,56.89,0.58,0,0,3.74,19.6,88.2,E39
12,0.000000,0.000000,0,-1.0,0.0,0,20221025,195613,29691,6.85,8.21,9.00,9.15,23.6,69.9,44.46,53.18,54.57,54.78,54.82,0.55,0,0,3.75,19.6,88.1,E39
